,fitness,code_bit1,code_bit2,code_bit3,code_bit4,code_bit5,code_bit6,code_bit7,code_bit8,code_bit9,code_bit10,code_bit11,code_bit12,code_bit13,code_bit14,code_bit15,code_bit16,code_bit17,code_bit18,code_bit19,code_bit20,code_bit21,operations1,operations2,operations3,operations4,operations5,operations6,operations7,
14,0.8791065812110901,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,input,maxpool3x3,conv3x3-bn-relu,maxpool3x3,maxpool3x3,maxpool3x3,output,"{'code': '0-10-111-1000-00001-000001', 'operations': ['input', 'maxpool3x3', 'conv3x3-bn-relu', 'maxpool3x3', 'maxpool3x3', 'maxpool3x3', 'output']}"
15,0.9279847741127014,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,input,maxpool3x3,conv1x1-bn-relu,conv3x3-bn-relu,conv3x3-bn-relu,maxpool3x3,output,"{'code': '0-10-101-0010-00010-000010', 'operations': ['input', 'maxpool3x3', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}"
16,0.9204727411270142,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,input,conv1x1-bn-relu,maxpool3x3,conv3x3-bn-relu,conv3x3-bn-relu,conv1x1-bn-relu,output,"{'code': '1-01-011-1000-01000-000100', 'operations': ['input', 'conv1x1-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'output']}"
17,0.9309895634651184,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,input,maxpool3x3,conv1x1-bn-relu,conv1x1-bn-relu,conv3x3-bn-relu,conv3x3-bn-relu,output,"{'code': '0-10-100-1001-00010-000001', 'operations': ['input', 'maxpool3x3', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'output']}"
18,0.9329928159713745,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,input,conv3x3-bn-relu,conv3x3-bn-relu,conv1x1-bn-relu,conv3x3-bn-relu,conv1x1-bn-relu,output,"{'code': '0-10-110-0010-00100-001010', 'operations': ['input', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'output']}"
19,0.8193109035491943,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,input,conv3x3-bn-relu,conv1x1-bn-relu,conv1x1-bn-relu,maxpool3x3,conv3x3-bn-relu,output,"{'code': '0-11-101-0010-00100-000100', 'operations': ['input', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'output']}"
20,0.8344351053237915,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,input,conv1x1-bn-relu,maxpool3x3,maxpool3x3,maxpool3x3,conv1x1-bn-relu,output,"{'code': '0-11-100-0010-10000-100001', 'operations': ['input', 'conv1x1-bn-relu', 'maxpool3x3', 'maxpool3x3', 'maxpool3x3', 'conv1x1-bn-relu', 'output']}"
21,0.9082531929016113,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,input,maxpool3x3,conv3x3-bn-relu,conv1x1-bn-relu,maxpool3x3,conv1x1-bn-relu,output,"{'code': '0-10-110-0011-00100-000010', 'operations': ['input', 'maxpool3x3', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'output']}"
22,0.90234375,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,input,conv1x1-bn-relu,conv3x3-bn-relu,maxpool3x3,conv3x3-bn-relu,maxpool3x3,output,"{'code': '0-10-011-0110-00001-000001', 'operations': ['input', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}"
23,0.8784054517745972,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,input,maxpool3x3,conv1x1-bn-relu,conv3x3-bn-relu,conv3x3-bn-relu,maxpool3x3,output,"{'code': '0-10-001-0001-01011-000001', 'operations': ['input', 'maxpool3x3', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}"
24,0.9280849099159241,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,input,conv3x3-bn-relu,conv3x3-bn-relu,conv1x1-bn-relu,maxpool3x3,conv3x3-bn-relu,output,"{'code': '1-01-011-1000-00100-000100', 'operations': ['input', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'output']}"
25,0.8316305875778198,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,input,conv3x3-bn-relu,conv3x3-bn-relu,conv3x3-bn-relu,maxpool3x3,conv3x3-bn-relu,output,"{'code': '0-10-110-0001-00100-100000', 'operations': ['input', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'output']}"
26,0.9073517918586731,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,input,maxpool3x3,maxpool3x3,maxpool3x3,conv3x3-bn-relu,conv1x1-bn-relu,output,"{'code': '0-10-001-1101-00001-000001', 'operations': ['input', 'maxpool3x3', 'maxpool3x3', 'maxpool3x3', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'output']}"
27,0.8939303159713745,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,input,maxpool3x3,conv1x1-bn-relu,maxpool3x3,conv3x3-bn-relu,conv3x3-bn-relu,output,"{'code': '1-10-100-0001-00100-000100', 'operations': ['input', 'maxpool3x3', 'conv1x1-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'output']}"
28,0.9239783883094788,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,input,maxpool3x3,maxpool3x3,conv3x3-bn-relu,conv3x3-bn-relu,conv3x3-bn-relu,output,"{'code': '0-10-100-1001-00100-010001', 'operations': ['input', 'maxpool3x3', 'maxpool3x3', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'output']}"
29,0.9327924847602844,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,input,conv1x1-bn-relu,conv3x3-bn-relu,conv1x1-bn-relu,conv3x3-bn-relu,conv1x1-bn-relu,output,"{'code': '1-10-010-0010-10000-000110', 'operations': ['input', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'output']}"
